filename,sample_bucket,category,package,take_actor,actor_height_cm,actor_gender,move_duration_frames,duration_s,content_body_position,content_type_of_movement,content_uniform_style,is_mirror,move_soma_uniform_path,move_g1_path
Loop_Forward_Walk_001__A019,bulk,Basic Locomotion Neutral,Locomotion,A019,165,M,517,4.308333333333334,standing,walking,neutral,False,soma_uniform/bvh/220705/Loop_Forward_Walk_001__A019.bvh,g1/csv/220705/Loop_Forward_Walk_001__A019.csv
Loop_Forward_Walk_001__A019_M,bulk,Basic Locomotion Neutral,Locomotion,A019,165,M,517,4.308333333333334,standing,walking,neutral,True,soma_uniform/bvh/220705/Loop_Forward_Walk_001__A019_M.bvh,g1/csv/220705/Loop_Forward_Walk_001__A019_M.csv
Neutral_kick_trash_005__A057_M,fast_dynamic,Gestures,Communication,A057,185,M,611,5.091666666666667,standing,"kicking, walking",neutral,True,soma_uniform/bvh/211117/Neutral_kick_trash_005__A057_M.bvh,g1/csv/211117/Neutral_kick_trash_005__A057_M.csv
Neutral_walk_forward_002__A057,bulk,Basic Locomotion Neutral,Locomotion,A057,185,M,1088,9.066666666666666,standing,walking,neutral,False,soma_uniform/bvh/211117/Neutral_walk_forward_002__A057.bvh,g1/csv/211117/Neutral_walk_forward_002__A057.csv
Neutral_walk_forward_002__A057_M,bulk,Basic Locomotion Neutral,Locomotion,A057,185,M,1088,9.066666666666666,standing,walking,neutral,True,soma_uniform/bvh/211117/Neutral_walk_forward_002__A057_M.bvh,g1/csv/211117/Neutral_walk_forward_002__A057_M.csv
Relaxed_stoop_down_004__A057_M,bulk,Other,Other,A057,185,M,1329,11.075,"standing, leaning",walking,neutral,True,soma_uniform/bvh/211117/Relaxed_stoop_down_004__A057_M.bvh,g1/csv/211117/Relaxed_stoop_down_004__A057_M.csv
Relaxed_throw_ball_002__A057_M,bulk,Object Manipulation,Interactions,A057,185,M,1043,8.691666666666666,standing,throwing,neutral,True,soma_uniform/bvh/211117/Relaxed_throw_ball_002__A057_M.bvh,g1/csv/211117/Relaxed_throw_ball_002__A057_M.csv
Relaxed_throw_ball_003__A057,bulk,Object Manipulation,Interactions,A057,185,M,1010,8.416666666666666,standing,throwing,neutral,False,soma_uniform/bvh/211117/Relaxed_throw_ball_003__A057.bvh,g1/csv/211117/Relaxed_throw_ball_003__A057.csv
Relaxed_throw_ball_003__A057_M,bulk,Object Manipulation,Interactions,A057,185,M,1010,8.416666666666666,standing,throwing,neutral,True,soma_uniform/bvh/211117/Relaxed_throw_ball_003__A057_M.bvh,g1/csv/211117/Relaxed_throw_ball_003__A057_M.csv
Relaxed_throw_ball_004__A057,bulk,Object Manipulation,Interactions,A057,185,M,836,6.966666666666667,standing,throwing,neutral,False,soma_uniform/bvh/211117/Relaxed_throw_ball_004__A057.bvh,g1/csv/211117/Relaxed_throw_ball_004__A057.csv
Relaxed_throw_ball_004__A057_M,bulk,Object Manipulation,Interactions,A057,185,M,836,6.966666666666667,standing,throwing,neutral,True,soma_uniform/bvh/211117/Relaxed_throw_ball_004__A057_M.bvh,g1/csv/211117/Relaxed_throw_ball_004__A057_M.csv
Sideway_Jog_Left_001__A019_M,bulk,Basic Locomotion Neutral,Locomotion,A019,165,M,3218,26.816666666666666,standing,jogging,neutral,True,soma_uniform/bvh/220705/Sideway_Jog_Left_001__A019_M.bvh,g1/csv/220705/Sideway_Jog_Left_001__A019_M.csv
Sideway_Jog_Left_001__A020_M,bulk,Basic Locomotion Neutral,Locomotion,A020,197,M,3099,25.825,standing,jogging,neutral,True,soma_uniform/bvh/220705/Sideway_Jog_Left_001__A020_M.bvh,g1/csv/220705/Sideway_Jog_Left_001__A020_M.csv
Sideway_Walk_Right_001__A017,bulk,Basic Locomotion Neutral,Locomotion,A017,180,F,574,4.783333333333333,standing,walking,neutral,False,soma_uniform/bvh/220705/Sideway_Walk_Right_001__A017.bvh,g1/csv/220705/Sideway_Walk_Right_001__A017.csv
Sideway_Walk_Right_001__A017_M,bulk,Basic Locomotion Neutral,Locomotion,A017,180,F,574,4.783333333333333,standing,walking,neutral,True,soma_uniform/bvh/220705/Sideway_Walk_Right_001__A017_M.bvh,g1/csv/220705/Sideway_Walk_Right_001__A017_M.csv
Sideway_Walk_Right_001__A018,bulk,Basic Locomotion Neutral,Locomotion,A018,148,F,733,6.108333333333333,standing,walking,neutral,False,soma_uniform/bvh/220705/Sideway_Walk_Right_001__A018.bvh,g1/csv/220705/Sideway_Walk_Right_001__A018.csv
Sideway_Walk_Right_001__A018_M,bulk,Basic Locomotion Neutral,Locomotion,A018,148,F,733,6.108333333333333,standing,walking,neutral,True,soma_uniform/bvh/220705/Sideway_Walk_Right_001__A018_M.bvh,g1/csv/220705/Sideway_Walk_Right_001__A018_M.csv
Sideway_Walk_Right_001__A019,bulk,Basic Locomotion Neutral,Locomotion,A019,165,M,585,4.875,standing,walking,neutral,False,soma_uniform/bvh/220705/Sideway_Walk_Right_001__A019.bvh,g1/csv/220705/Sideway_Walk_Right_001__A019.csv
Sideway_Walk_Right_001__A019_M,bulk,Basic Locomotion Neutral,Locomotion,A019,165,M,585,4.875,standing,walking,neutral,True,soma_uniform/bvh/220705/Sideway_Walk_Right_001__A019_M.bvh,g1/csv/220705/Sideway_Walk_Right_001__A019_M.csv
Sideway_Walk_Right_001__A020,bulk,Basic Locomotion Neutral,Locomotion,A020,197,M,526,4.383333333333334,standing,walking,neutral,False,soma_uniform/bvh/220705/Sideway_Walk_Right_001__A020.bvh,g1/csv/220705/Sideway_Walk_Right_001__A020.csv
Sideway_Walk_Right_001__A020_M,bulk,Basic Locomotion Neutral,Locomotion,A020,197,M,526,4.383333333333334,standing,walking,neutral,True,soma_uniform/bvh/220705/Sideway_Walk_Right_001__A020_M.bvh,g1/csv/220705/Sideway_Walk_Right_001__A020_M.csv
Step_Rotate_Reaction_Idle_0135_001__A017,bulk,Basic Locomotion Neutral,Locomotion,A017,180,F,6503,54.19166666666667,standing,turning,neutral,False,soma_uniform/bvh/220705/Step_Rotate_Reaction_Idle_0135_001__A017.bvh,g1/csv/220705/Step_Rotate_Reaction_Idle_0135_001__A017.csv
Step_Rotate_Reaction_Idle_0135_001__A017_M,bulk,Basic Locomotion Neutral,Locomotion,A017,180,F,6503,54.19166666666667,standing,turning,neutral,True,soma_uniform/bvh/220705/Step_Rotate_Reaction_Idle_0135_001__A017_M.bvh,g1/csv/220705/Step_Rotate_Reaction_Idle_0135_001__A017_M.csv
Step_Rotate_Reaction_Idle_0135_001__A019,bulk,Basic Locomotion Neutral,Locomotion,A019,165,M,6573,54.775,standing,turning,neutral,False,soma_uniform/bvh/220705/Step_Rotate_Reaction_Idle_0135_001__A019.bvh,g1/csv/220705/Step_Rotate_Reaction_Idle_0135_001__A019.csv
Stop_forward_Jog_001__A018_M,bulk,Basic Locomotion Neutral,Locomotion,A018,148,F,989,8.241666666666667,standing,jogging,neutral,True,soma_uniform/bvh/220705/Stop_forward_Jog_001__A018_M.bvh,g1/csv/220705/Stop_forward_Jog_001__A018_M.csv
Stop_forward_Jog_001__A020,bulk,Basic Locomotion Neutral,Locomotion,A020,197,M,781,6.508333333333334,standing,jogging,neutral,False,soma_uniform/bvh/220705/Stop_forward_Jog_001__A020.bvh,g1/csv/220705/Stop_forward_Jog_001__A020.csv
Stop_forward_Jog_001__A020_M,bulk,Basic Locomotion Neutral,Locomotion,A020,197,M,781,6.508333333333334,standing,jogging,neutral,True,soma_uniform/bvh/220705/Stop_forward_Jog_001__A020_M.bvh,g1/csv/220705/Stop_forward_Jog_001__A020_M.csv
Stop_forward_Jog_003__A019_M,bulk,Basic Locomotion Neutral,Locomotion,A019,165,M,1356,11.3,standing,jogging,neutral,True,soma_uniform/bvh/220705/Stop_forward_Jog_003__A019_M.bvh,g1/csv/220705/Stop_forward_Jog_003__A019_M.csv
Stop_forward_Jog_004__A020,bulk,Basic Locomotion Neutral,Locomotion,A020,197,M,767,6.391666666666667,standing,jogging,neutral,False,soma_uniform/bvh/220705/Stop_forward_Jog_004__A020.bvh,g1/csv/220705/Stop_forward_Jog_004__A020.csv
Stop_forward_Jog_005__A017_M,bulk,Basic Locomotion Neutral,Locomotion,A017,180,F,5898,49.15,standing,jogging,neutral,True,soma_uniform/bvh/220705/Stop_forward_Jog_005__A017_M.bvh,g1/csv/220705/Stop_forward_Jog_005__A017_M.csv
Stop_forward_Jog_005__A020_M,bulk,Basic Locomotion Neutral,Locomotion,A020,197,M,6365,53.041666666666664,standing,jogging,neutral,True,soma_uniform/bvh/220705/Stop_forward_Jog_005__A020_M.bvh,g1/csv/220705/Stop_forward_Jog_005__A020_M.csv
Trusting_kick_trash_003__A057,bulk,Gestures,Communication,A057,185,M,1378,11.483333333333333,standing,"kicking, walking",neutral,False,soma_uniform/bvh/211117/Trusting_kick_trash_003__A057.bvh,g1/csv/211117/Trusting_kick_trash_003__A057.csv
Trusting_kick_trash_004__A057,fast_dynamic,Gestures,Communication,A057,185,M,839,6.991666666666666,standing,"kicking, walking",neutral,False,soma_uniform/bvh/211117/Trusting_kick_trash_004__A057.bvh,g1/csv/211117/Trusting_kick_trash_004__A057.csv
Trusting_kick_trash_005__A057_M,bulk,Gestures,Communication,A057,185,M,837,6.975,standing,"kicking, walking",neutral,True,soma_uniform/bvh/211117/Trusting_kick_trash_005__A057_M.bvh,g1/csv/211117/Trusting_kick_trash_005__A057_M.csv
Trusting_walk_forward_005__A057,bulk,Basic Locomotion Styles,Locomotion,A057,185,M,1297,10.808333333333334,standing,walking,neutral,False,soma_uniform/bvh/211117/Trusting_walk_forward_005__A057.bvh,g1/csv/211117/Trusting_walk_forward_005__A057.csv
Turn_Start_Walk_0225_002__A017,bulk,Basic Locomotion Neutral,Locomotion,A017,180,F,804,6.7,standing,walking,neutral,False,soma_uniform/bvh/220705/Turn_Start_Walk_0225_002__A017.bvh,g1/csv/220705/Turn_Start_Walk_0225_002__A017.csv
Turn_Start_Walk_0225_002__A017_M,bulk,Basic Locomotion Neutral,Locomotion,A017,180,F,804,6.7,standing,walking,neutral,True,soma_uniform/bvh/220705/Turn_Start_Walk_0225_002__A017_M.bvh,g1/csv/220705/Turn_Start_Walk_0225_002__A017_M.csv
Turn_Start_Walk_0225_002__A019,bulk,Basic Locomotion Neutral,Locomotion,A019,165,M,729,6.075,standing,walking,neutral,False,soma_uniform/bvh/220705/Turn_Start_Walk_0225_002__A019.bvh,g1/csv/220705/Turn_Start_Walk_0225_002__A019.csv
Turn_Start_Walk_0225_002__A019_M,bulk,Basic Locomotion Neutral,Locomotion,A019,165,M,729,6.075,standing,walking,neutral,True,soma_uniform/bvh/220705/Turn_Start_Walk_0225_002__A019_M.bvh,g1/csv/220705/Turn_Start_Walk_0225_002__A019_M.csv
Turn_Start_Walk_0225_002__A020_M,bulk,Basic Locomotion Neutral,Locomotion,A020,197,M,757,6.308333333333334,standing,walking,neutral,True,soma_uniform/bvh/220705/Turn_Start_Walk_0225_002__A020_M.bvh,g1/csv/220705/Turn_Start_Walk_0225_002__A020_M.csv
Turn_Start_Walk_0315_001__A017,bulk,Basic Locomotion Neutral,Locomotion,A017,180,F,843,7.025,standing,walking,neutral,False,soma_uniform/bvh/220705/Turn_Start_Walk_0315_001__A017.bvh,g1/csv/220705/Turn_Start_Walk_0315_001__A017.csv
Turn_Start_Walk_0315_001__A017_M,bulk,Basic Locomotion Neutral,Locomotion,A017,180,F,843,7.025,standing,walking,neutral,True,soma_uniform/bvh/220705/Turn_Start_Walk_0315_001__A017_M.bvh,g1/csv/220705/Turn_Start_Walk_0315_001__A017_M.csv
Turn_Start_Walk_0315_001__A018,bulk,Basic Locomotion Neutral,Locomotion,A018,148,F,827,6.891666666666667,standing,walking,neutral,False,soma_uniform/bvh/220705/Turn_Start_Walk_0315_001__A018.bvh,g1/csv/220705/Turn_Start_Walk_0315_001__A018.csv
Turn_Start_Walk_0315_001__A018_M,bulk,Basic Locomotion Neutral,Locomotion,A018,148,F,827,6.891666666666667,standing,walking,neutral,True,soma_uniform/bvh/220705/Turn_Start_Walk_0315_001__A018_M.bvh,g1/csv/220705/Turn_Start_Walk_0315_001__A018_M.csv
Turn_Start_Walk_0315_001__A020,bulk,Basic Locomotion Neutral,Locomotion,A020,197,M,821,6.841666666666667,standing,walking,neutral,False,soma_uniform/bvh/220705/Turn_Start_Walk_0315_001__A020.bvh,g1/csv/220705/Turn_Start_Walk_0315_001__A020.csv
ab_bicycle_001__A359,ground_contact,Sports,Sport,A359,176,F,1390,11.583333333333334,lying on the floor,exercising,neutral,False,soma_uniform/bvh/230509/ab_bicycle_001__A359.bvh,g1/csv/230509/ab_bicycle_001__A359.csv
ab_bicycle_001__A359_M,ground_contact,Sports,Sport,A359,176,F,1390,11.583333333333334,lying on the floor,exercising,neutral,True,soma_uniform/bvh/230509/ab_bicycle_001__A359_M.bvh,g1/csv/230509/ab_bicycle_001__A359_M.csv
ab_bicycle_001__A361_M,ground_contact,Sports,Sport,A361,177,F,800,6.666666666666667,lying on the floor,exercising,neutral,True,soma_uniform/bvh/230509/ab_bicycle_001__A361_M.bvh,g1/csv/230509/ab_bicycle_001__A361_M.csv
ab_bicycle_002__A359,ground_contact,Sports,Sport,A359,176,F,958,7.983333333333333,lying on the floor,exercising,neutral,False,soma_uniform/bvh/230509/ab_bicycle_002__A359.bvh,g1/csv/230509/ab_bicycle_002__A359.csv
ab_bicycle_003__A362,ground_contact,Sports,Sport,A362,196,M,670,5.583333333333333,lying on the floor,exercising,neutral,False,soma_uniform/bvh/230509/ab_bicycle_003__A362.bvh,g1/csv/230509/ab_bicycle_003__A362.csv
ab_bicycle_003__A362_M,ground_contact,Sports,Sport,A362,196,M,670,5.583333333333333,lying on the floor,exercising,neutral,True,soma_uniform/bvh/230509/ab_bicycle_003__A362_M.bvh,g1/csv/230509/ab_bicycle_003__A362_M.csv
alone_009__A100,bulk,Gestures,Communication,A100,188,M,1024,8.533333333333333,standing,gesture,neutral,False,soma_uniform/bvh/230103/alone_009__A100.bvh,g1/csv/230103/alone_009__A100.csv
alone_R_001__A164,bulk,Gestures,Communication,A164,171,M,819,6.825,standing,gesture,neutral,False,soma_uniform/bvh/230201/alone_R_001__A164.bvh,g1/csv/230201/alone_R_001__A164.csv
alone_R_001__A164_M,bulk,Gestures,Communication,A164,171,M,819,6.825,standing,gesture,neutral,True,soma_uniform/bvh/230201/alone_R_001__A164_M.bvh,g1/csv/230201/alone_R_001__A164_M.csv
alone_R_001__A168_M,bulk,Gestures,Communication,A168,187,M,984,8.2,standing,gesture,neutral,True,soma_uniform/bvh/230201/alone_R_001__A168_M.bvh,g1/csv/230201/alone_R_001__A168_M.csv
alone_R_001__A409,bulk,Gestures,Communication,A409,184,M,1198,9.983333333333333,standing,gesture,neutral,False,soma_uniform/bvh/230529/alone_R_001__A409.bvh,g1/csv/230529/alone_R_001__A409.csv
alone_R_002__A167_M,bulk,Gestures,Communication,A167,168,F,890,7.416666666666667,standing,gesture,neutral,True,soma_uniform/bvh/230201/alone_R_002__A167_M.bvh,g1/csv/230201/alone_R_002__A167_M.csv
alone_R_002__A186,bulk,Gestures,Communication,A186,171,F,1000,8.333333333333334,standing,gesture,neutral,False,soma_uniform/bvh/230213/alone_R_002__A186.bvh,g1/csv/230213/alone_R_002__A186.csv
alone_R_002__A187_M,bulk,Gestures,Communication,A187,169,F,967,8.058333333333334,standing,gesture,neutral,True,soma_uniform/bvh/230213/alone_R_002__A187_M.bvh,g1/csv/230213/alone_R_002__A187_M.csv
alone_R_003__A168_M,bulk,Gestures,Communication,A168,187,M,1094,9.116666666666667,standing,gesture,neutral,True,soma_uniform/bvh/230201/alone_R_003__A168_M.bvh,g1/csv/230201/alone_R_003__A168_M.csv
alone_R_004__A235,bulk,Gestures,Communication,A235,174,F,717,5.975,standing,gesture,neutral,False,soma_uniform/bvh/230302/alone_R_004__A235.bvh,g1/csv/230302/alone_R_004__A235.csv
alone_R_005__A238_M,bulk,Gestures,Communication,A238,183,M,1085,9.041666666666666,standing,gesture,neutral,True,soma_uniform/bvh/230302/alone_R_005__A238_M.bvh,g1/csv/230302/alone_R_005__A238_M.csv
angry_look_000_R_001__A453,bulk,Object Interaction,Gaming,A453,175,F,548,4.566666666666666,standing,looking,neutral,False,soma_uniform/bvh/230907/angry_look_000_R_001__A453.bvh,g1/csv/230907/angry_look_000_R_001__A453.csv
angry_look_000_R_001__A453_M,bulk,Object Interaction,Gaming,A453,175,F,548,4.566666666666666,standing,looking,neutral,True,soma_uniform/bvh/230907/angry_look_000_R_001__A453_M.bvh,g1/csv/230907/angry_look_000_R_001__A453_M.csv
angry_look_270_R_001__A451_M,bulk,Object Interaction,Gaming,A451,167,F,587,4.891666666666667,standing,looking,neutral,True,soma_uniform/bvh/230907/angry_look_270_R_001__A451_M.bvh,g1/csv/230907/angry_look_270_R_001__A451_M.csv
angry_look_270_R_001__A452,bulk,Object Interaction,Gaming,A452,171,F,491,4.091666666666667,standing,looking,neutral,False,soma_uniform/bvh/230907/angry_look_270_R_001__A452.bvh,g1/csv/230907/angry_look_270_R_001__A452.csv
angry_look_270_R_001__A453,bulk,Object Interaction,Gaming,A453,175,F,1115,9.291666666666666,standing,looking,neutral,False,soma_uniform/bvh/230907/angry_look_270_R_001__A453.bvh,g1/csv/230907/angry_look_270_R_001__A453.csv
angry_look_270_R_001__A453_M,bulk,Object Interaction,Gaming,A453,175,F,1114,9.283333333333333,standing,looking,neutral,True,soma_uniform/bvh/230907/angry_look_270_R_001__A453_M.bvh,g1/csv/230907/angry_look_270_R_001__A453_M.csv
angry_look_270_R_001__A454,bulk,Object Interaction,Gaming,A454,175,F,562,4.683333333333334,standing,looking,neutral,False,soma_uniform/bvh/230907/angry_look_270_R_001__A454.bvh,g1/csv/230907/angry_look_270_R_001__A454.csv
angry_look_270_R_002__A455,bulk,Object Interaction,Gaming,A455,172,F,520,4.333333333333333,standing,looking,neutral,False,soma_uniform/bvh/230907/angry_look_270_R_002__A455.bvh,g1/csv/230907/angry_look_270_R_002__A455.csv
angry_look_360_R_002__A451_M,bulk,Object Interaction,Gaming,A451,167,F,333,2.775,standing,looking,neutral,True,soma_uniform/bvh/230907/angry_look_360_R_002__A451_M.bvh,g1/csv/230907/angry_look_360_R_002__A451_M.csv
angry_look_360_R_002__A453,bulk,Object Interaction,Gaming,A453,175,F,505,4.208333333333333,standing,looking,neutral,False,soma_uniform/bvh/230907/angry_look_360_R_002__A453.bvh,g1/csv/230907/angry_look_360_R_002__A453.csv
angry_look_360_R_002__A455_M,bulk,Object Interaction,Gaming,A455,172,F,744,6.2,standing,looking,neutral,True,soma_uniform/bvh/230907/angry_look_360_R_002__A455_M.bvh,g1/csv/230907/angry_look_360_R_002__A455_M.csv
arc_jog_left_loop_003__A035,bulk,Basic Locomotion Neutral,Locomotion,A035,198,M,1213,10.108333333333333,standing,jogging,neutral,False,soma_uniform/bvh/220721/arc_jog_left_loop_003__A035.bvh,g1/csv/220721/arc_jog_left_loop_003__A035.csv
arc_jog_left_start_004__A035,bulk,Basic Locomotion Neutral,Locomotion,A035,198,M,592,4.933333333333334,standing,jogging,neutral,False,soma_uniform/bvh/220721/arc_jog_left_start_004__A035.bvh,g1/csv/220721/arc_jog_left_start_004__A035.csv
arc_jog_left_stop_001__A040,bulk,Basic Locomotion Neutral,Locomotion,A040,164,M,739,6.158333333333333,standing,jogging,neutral,False,soma_uniform/bvh/220727/arc_jog_left_stop_001__A040.bvh,g1/csv/220727/arc_jog_left_stop_001__A040.csv
arc_walk_left_loop_001__A034,bulk,Basic Locomotion Neutral,Locomotion,A034,183,F,1556,12.966666666666667,standing,walking,neutral,False,soma_uniform/bvh/220721/arc_walk_left_loop_001__A034.bvh,g1/csv/220721/arc_walk_left_loop_001__A034.csv
arc_walk_left_loop_003__A042_M,bulk,Basic Locomotion Neutral,Locomotion,A042,178,F,1198,9.983333333333333,standing,walking,neutral,True,soma_uniform/bvh/220728/arc_walk_left_loop_003__A042_M.bvh,g1/csv/220728/arc_walk_left_loop_003__A042_M.csv
arc_walk_left_start_003__A031_M,bulk,Basic Locomotion Neutral,Locomotion,A031,192,M,674,5.616666666666666,standing,walking,neutral,True,soma_uniform/bvh/220720/arc_walk_left_start_003__A031_M.bvh,g1/csv/220720/arc_walk_left_start_003__A031_M.csv
arc_walk_left_start_003__A041_M,bulk,Basic Locomotion Neutral,Locomotion,A041,157,F,651,5.425,standing,walking,neutral,True,soma_uniform/bvh/220728/arc_walk_left_start_003__A041_M.bvh,g1/csv/220728/arc_walk_left_start_003__A041_M.csv
arc_walk_left_start_004__A043,bulk,Basic Locomotion Neutral,Locomotion,A043,190,M,751,6.258333333333334,standing,walking,neutral,False,soma_uniform/bvh/220728/arc_walk_left_start_004__A043.bvh,g1/csv/220728/arc_walk_left_start_004__A043.csv
arc_walk_left_stop_003__A037_M,bulk,Basic Locomotion Neutral,Locomotion,A037,155,F,850,7.083333333333333,standing,walking,neutral,True,soma_uniform/bvh/220727/arc_walk_left_stop_003__A037_M.bvh,g1/csv/220727/arc_walk_left_stop_003__A037_M.csv
arc_walk_left_stop_004__A032_M,bulk,Basic Locomotion Neutral,Locomotion,A032,166,M,640,5.333333333333333,standing,walking,neutral,True,soma_uniform/bvh/220720/arc_walk_left_stop_004__A032_M.bvh,g1/csv/220720/arc_walk_left_stop_004__A032_M.csv
as_you_wish_R_001__A432,bulk,Gestures,Communication,A432,167,F,449,3.7416666666666667,standing,gesture,neutral,False,soma_uniform/bvh/230713/as_you_wish_R_001__A432.bvh,g1/csv/230713/as_you_wish_R_001__A432.csv
avoid_obstacle_jump_run_ff_180_R_002__A500,fast_dynamic,Advanced Locomotion,Locomotion,A500,171,F,288,2.4,"standing, leaning",running,neutral,False,soma_uniform/bvh/231110/avoid_obstacle_jump_run_ff_180_R_002__A500.bvh,g1/csv/231110/avoid_obstacle_jump_run_ff_180_R_002__A500.csv
avoid_obstacle_jump_run_ff_180_R_002__A500_M,fast_dynamic,Advanced Locomotion,Locomotion,A500,171,F,288,2.4,"standing, leaning",running,neutral,True,soma_uniform/bvh/231110/avoid_obstacle_jump_run_ff_180_R_002__A500_M.bvh,g1/csv/231110/avoid_obstacle_jump_run_ff_180_R_002__A500_M.csv
avoid_obstacle_jump_run_ff_180_R_002__A501,fast_dynamic,Advanced Locomotion,Locomotion,A501,174,F,288,2.4,"standing, leaning",running,neutral,False,soma_uniform/bvh/231110/avoid_obstacle_jump_run_ff_180_R_002__A501.bvh,g1/csv/231110/avoid_obstacle_jump_run_ff_180_R_002__A501.csv
avoid_obstacle_jump_run_ff_180_R_002__A501_M,fast_dynamic,Advanced Locomotion,Locomotion,A501,174,F,288,2.4,"standing, leaning",running,neutral,True,soma_uniform/bvh/231110/avoid_obstacle_jump_run_ff_180_R_002__A501_M.bvh,g1/csv/231110/avoid_obstacle_jump_run_ff_180_R_002__A501_M.csv
avoid_obstacle_jump_run_ff_180_R_002__A502,fast_dynamic,Advanced Locomotion,Locomotion,A502,181,F,288,2.4,"standing, leaning",running,neutral,False,soma_uniform/bvh/231110/avoid_obstacle_jump_run_ff_180_R_002__A502.bvh,g1/csv/231110/avoid_obstacle_jump_run_ff_180_R_002__A502.csv
avoid_obstacle_jump_run_ff_180_R_002__A502_M,fast_dynamic,Advanced Locomotion,Locomotion,A502,181,F,288,2.4,"standing, leaning",running,neutral,True,soma_uniform/bvh/231110/avoid_obstacle_jump_run_ff_180_R_002__A502_M.bvh,g1/csv/231110/avoid_obstacle_jump_run_ff_180_R_002__A502_M.csv
avoid_obstacle_jump_run_ff_180_R_002__A503,fast_dynamic,Advanced Locomotion,Locomotion,A503,188,M,288,2.4,"standing, leaning",running,neutral,False,soma_uniform/bvh/231110/avoid_obstacle_jump_run_ff_180_R_002__A503.bvh,g1/csv/231110/avoid_obstacle_jump_run_ff_180_R_002__A503.csv
avoid_obstacle_jump_run_ff_180_R_002__A503_M,bulk,Advanced Locomotion,Locomotion,A503,188,M,288,2.4,"standing, leaning",running,neutral,True,soma_uniform/bvh/231110/avoid_obstacle_jump_run_ff_180_R_002__A503_M.bvh,g1/csv/231110/avoid_obstacle_jump_run_ff_180_R_002__A503_M.csv
